order,list,item,condition,target_type,target_num,comp_num,Exp1_target,Exp1_competitor,ambiguity,targetID,targetPos,compPos,comp2Pos,destPos,locPhrase,order_of_mention,entities,target_grammatical_status,target_number,sentence,firstDisplay,secondDisplay,expTrials
62,1,23,2,1,2,1,guitars,microscope,unambiguous,2,3,2,,4,next to,1,2,subject,plural,The guitars next to the microscope are on number 3.,E23_2_1.jpg,E23_2_2.jpg,Y
62,2,23,3,2,1,2,guitar,microscopes,unambiguous,2,3,2,,4,next to,1,2,subject,singular,The guitar next to the microscopes is on number 3.,E23_3_1.jpg,E23_3_2.jpg,Y
62,3,23,4,2,2,2,guitars,microscopes,ambiguous,2,3,2,,4,next to,1,2,subject,plural,The guitars next to the microscopes are on number 3.,E23_4_1.jpg,E23_4_2.jpg,Y
62,4,23,1,1,1,1,guitar,microscope,ambiguous,2,3,2,,4,next to,1,2,subject,singular,The guitar next to the microscope is on number 3.,E23_1_1.jpg,E23_1_2.jpg,Y
63,1,X43,9,,,,,,,,6,3,,5,above,2,2,PP object,plural,The umbrella is above the jugs.,X43_9_1.jpg,X43_9_2.jpg,N
63,2,X43,9,,,,,,,,6,3,,5,above,2,2,PP object,plural,The umbrella is above the jugs.,X43_9_1.jpg,X43_9_2.jpg,N
63,3,X43,9,,,,,,,,6,3,,5,above,2,2,PP object,plural,The umbrella is above the jugs.,X43_9_1.jpg,X43_9_2.jpg,N
63,4,X43,9,,,,,,,,6,3,,5,above,2,2,PP object,plural,The umbrella is above the jugs.,X43_9_1.jpg,X43_9_2.jpg,N
64,1,X64,9,,,,,,,,1,3,,6,,1,2,VP object,plural,There are elephants on number 1.,X64_9_1.jpg,X64_9_2.jpg,N
64,2,X64,9,,,,,,,,1,3,,6,,1,2,VP object,plural,There are elephants on number 1.,X64_9_1.jpg,X64_9_2.jpg,N
64,3,X64,9,,,,,,,,1,3,,6,,1,2,VP object,plural,There are elephants on number 1.,X64_9_1.jpg,X64_9_2.jpg,N
64,4,X64,9,,,,,,,,1,3,,6,,1,2,VP object,plural,There are elephants on number 1.,X64_9_1.jpg,X64_9_2.jpg,N
65,1,24,1,1,1,1,barrel,necklace,ambiguous,8,2,5,,3,above,1,2,subject,singular,The barrel above the necklace is on number 2.,E24_1_1.jpg,E24_1_2.jpg,Y
65,2,24,2,1,2,1,barrels,necklace,unambiguous,8,2,5,,3,above,1,2,subject,plural,The barrels above the necklace are on number 2.,E24_2_1.jpg,E24_2_2.jpg,Y
65,3,24,3,2,1,2,barrel,necklaces,unambiguous,8,2,5,,3,above,1,2,subject,singular,The barrel above the necklaces is on number 2.,E24_3_1.jpg,E24_3_2.jpg,Y
65,4,24,4,2,2,2,barrels,necklaces,ambiguous,8,2,5,,3,above,1,2,subject,plural,The barrels above the necklaces are on number 2.,E24_4_1.jpg,E24_4_2.jpg,Y
66,1,X50,9,,,,,,,,5,4,,6,,1,2,VP object,singular,There is a CD on number 5.,X50_9_1.jpg,X50_9_2.jpg,N
